trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,0.907048,105,95.24,150,3
2,0.887850,107,95.00,150,3
3,1.044835,91,95.08,150,3
4,0.926214,103,95.40,150,3
5,0.843186,113,95.28,150,3
6,1.111163,86,95.56,150,3
7,0.888972,107,95.12,150,3
8,0.774959,123,95.32,150,3
9,0.932157,102,95.08,150,3
10,1.048352,91,95.40,150,3
11,0.873761,109,95.24,150,3
12,0.798319,119,95.00,150,3
13,0.942574,101,95.20,150,3
14,1.011915,94,95.12,150,3
15,0.849286,112,95.12,150,3
16,0.982268,97,95.28,150,3
17,1.024086,93,95.24,150,3
18,0.827130,115,95.12,150,3
19,0.882593,108,95.32,150,3
20,0.887850,107,95.00,150,3
21,0.798992,119,95.08,150,3
22,0.969796,98,95.04,150,3
23,0.888598,107,95.08,150,3
24,0.989583,96,95.00,150,3
25,0.833333,114,95.00,150,3
26,0.866545,110,95.32,150,3
27,0.850357,112,95.24,150,3
28,0.882593,108,95.32,150,3
29,0.950400,100,95.04,150,3
30,0.737054,129,95.08,150,3
31,1.060000,90,95.40,150,3
32,0.915385,104,95.20,150,3
33,1.035652,92,95.28,150,3
34,0.865455,110,95.20,150,3
35,0.972653,98,95.32,150,3
36,1.106977,86,95.20,150,3
37,0.972653,98,95.32,150,3
38,1.079545,88,95.00,150,3
39,0.880370,108,95.08,150,3
40,1.016170,94,95.52,150,3
41,0.970204,98,95.08,150,3
42,0.904762,105,95.00,150,3
43,0.959596,99,95.00,150,3
44,0.794333,120,95.32,150,3
45,0.841770,113,95.12,150,3
46,0.863636,110,95.00,150,3
47,0.863636,110,95.00,150,3
48,0.931765,102,95.04,150,3
49,1.000421,95,95.04,150,3
50,0.896604,106,95.04,150,3
51,0.848571,112,95.04,150,3
52,0.826435,115,95.04,150,3
53,0.973878,98,95.44,150,3
54,1.012766,94,95.20,150,3
55,0.991250,96,95.16,150,3
56,0.880000,108,95.04,150,3
57,0.897358,106,95.12,150,3
58,0.950400,100,95.04,150,3
59,0.913462,104,95.00,150,3
60,0.841416,113,95.08,150,3
61,0.898113,106,95.20,150,3
62,0.972653,98,95.32,150,3
63,0.925825,103,95.36,150,3
64,0.922718,103,95.04,150,3
65,0.889720,107,95.20,150,3
66,0.934510,102,95.32,150,3
67,1.060000,90,95.40,150,3
68,0.896226,106,95.00,150,3
69,0.883704,108,95.44,150,3
70,0.864364,110,95.08,150,3
71,0.841416,113,95.08,150,3
72,0.742188,128,95.00,150,3
73,0.940990,101,95.04,150,3
74,0.981856,97,95.24,150,3
75,0.933333,102,95.20,150,3
76,0.952000,100,95.20,150,3
77,0.979794,97,95.04,150,3
78,0.841062,113,95.04,150,3
