trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,1.462154,65,95.04,300,2.75
2,1.338592,71,95.04,300,2.75
3,1.486250,64,95.12,300,2.75
4,1.792453,53,95.00,300,2.75
5,1.339155,71,95.08,300,2.75
6,1.461538,65,95.00,300,2.75
7,1.419104,67,95.08,300,2.75
8,1.586000,60,95.16,300,2.75
9,1.801509,53,95.48,300,2.75
10,1.943673,49,95.24,300,2.75
11,1.320000,72,95.04,300,2.75
12,1.762222,54,95.16,300,2.75
13,1.700714,56,95.24,300,2.75
14,1.586000,60,95.16,300,2.75
15,1.588000,60,95.28,300,2.75
16,1.486250,64,95.12,300,2.75
17,1.833846,52,95.36,300,2.75
18,1.511111,63,95.20,300,2.75
19,1.869020,51,95.32,300,2.75
20,1.511111,63,95.20,300,2.75
21,1.558689,61,95.08,300,2.75
22,1.613559,59,95.20,300,2.75
23,1.511746,63,95.24,300,2.75
24,1.696429,56,95.00,300,2.75
25,1.560656,61,95.20,300,2.75
26,1.701429,56,95.28,300,2.75
27,1.462769,65,95.08,300,2.75
28,1.666667,57,95.00,300,2.75
29,1.586000,60,95.16,300,2.75
30,1.612881,59,95.16,300,2.75
31,1.759259,54,95.00,300,2.75
32,1.735273,55,95.44,300,2.75
33,1.485000,64,95.04,300,2.75
34,1.536774,62,95.28,300,2.75
35,1.699286,56,95.16,300,2.75
36,1.561967,61,95.28,300,2.75
37,1.488750,64,95.28,300,2.75
38,1.906400,50,95.32,300,2.75
39,1.559344,61,95.12,300,2.75
40,1.439394,66,95.00,300,2.75
41,1.421493,67,95.24,300,2.75
42,1.423284,67,95.36,300,2.75
43,1.488750,64,95.28,300,2.75
44,1.828462,52,95.08,300,2.75
45,1.561967,61,95.28,300,2.75
46,1.557377,61,95.00,300,2.75
47,1.484375,64,95.00,300,2.75
48,1.361143,70,95.28,300,2.75
49,1.759259,54,95.00,300,2.75
50,1.466462,65,95.32,300,2.75
51,1.611525,59,95.08,300,2.75
52,1.536774,62,95.28,300,2.75
53,1.583333,60,95.00,300,2.75
54,1.534839,62,95.16,300,2.75
55,1.560656,61,95.20,300,2.75
56,1.672982,57,95.36,300,2.75
57,1.642759,58,95.28,300,2.75
58,1.378551,69,95.12,300,2.75
59,1.728727,55,95.08,300,2.75
60,1.832308,52,95.28,300,2.75
61,1.827692,52,95.04,300,2.75
62,1.616949,59,95.40,300,2.75
63,1.509206,63,95.08,300,2.75
64,1.796226,53,95.20,300,2.75
65,1.727273,55,95.00,300,2.75
66,1.796226,53,95.20,300,2.75
67,1.731636,55,95.24,300,2.75
68,1.586667,60,95.20,300,2.75
69,1.760741,54,95.08,300,2.75
70,1.378551,69,95.12,300,2.75
71,1.642759,58,95.28,300,2.75
72,1.729455,55,95.12,300,2.75
73,1.560656,61,95.20,300,2.75
74,1.558033,61,95.04,300,2.75
75,1.441212,66,95.12,300,2.75
76,1.700000,56,95.20,300,2.75
77,1.441212,66,95.12,300,2.75
78,1.798491,53,95.32,300,2.75
79,1.584000,60,95.04,300,2.75
80,1.642069,58,95.24,300,2.75
81,1.400588,68,95.24,300,2.75
82,1.794717,53,95.12,300,2.75
83,1.638621,58,95.04,300,2.75
84,1.668070,57,95.08,300,2.75
85,1.667368,57,95.04,300,2.75
86,1.729455,55,95.12,300,2.75
87,1.463385,65,95.12,300,2.75
88,1.463385,65,95.12,300,2.75
89,1.511111,63,95.20,300,2.75
90,1.417910,67,95.00,300,2.75
91,1.610847,59,95.04,300,2.75
92,1.536129,62,95.24,300,2.75
93,1.588667,60,95.32,300,2.75
94,1.700000,56,95.20,300,2.75
95,1.465231,65,95.24,300,2.75
96,1.988333,48,95.44,300,2.75
97,1.584667,60,95.08,300,2.75
98,1.765185,54,95.32,300,2.75
99,1.730909,55,95.20,300,2.75
100,1.443030,66,95.24,300,2.75
101,1.702143,56,95.32,300,2.75
102,1.619661,59,95.56,300,2.75
103,1.827692,52,95.04,300,2.75
104,1.511746,63,95.24,300,2.75
105,1.586000,60,95.16,300,2.75
106,1.642759,58,95.28,300,2.75
107,1.461538,65,95.00,300,2.75
108,1.668070,57,95.08,300,2.75
109,1.381449,69,95.32,300,2.75
110,1.341972,71,95.28,300,2.75
111,1.509206,63,95.08,300,2.75
112,1.587333,60,95.24,300,2.75
113,2.076522,46,95.52,300,2.75
114,1.422687,67,95.32,300,2.75
115,1.443030,66,95.24,300,2.75
116,1.983333,48,95.20,300,2.75
117,1.638621,58,95.04,300,2.75
118,1.699286,56,95.16,300,2.75
119,1.734545,55,95.40,300,2.75
120,1.942041,49,95.16,300,2.75
121,1.533548,62,95.08,300,2.75
122,1.639310,58,95.08,300,2.75
123,1.638621,58,95.04,300,2.75
124,1.536129,62,95.24,300,2.75
125,1.727273,55,95.00,300,2.75
126,1.700000,56,95.20,300,2.75
127,1.511111,63,95.20,300,2.75
128,1.701429,56,95.28,300,2.75
129,1.485625,64,95.08,300,2.75
130,1.698571,56,95.12,300,2.75
131,1.670877,57,95.24,300,2.75
132,1.637931,58,95.00,300,2.75
133,1.511111,63,95.20,300,2.75
134,1.558033,61,95.04,300,2.75
135,1.379710,69,95.20,300,2.75
136,1.586667,60,95.20,300,2.75
137,1.640690,58,95.16,300,2.75
138,1.668772,57,95.12,300,2.75
139,1.564590,61,95.44,300,2.75
140,1.590000,60,95.40,300,2.75
141,1.441818,66,95.16,300,2.75
142,1.490000,64,95.36,300,2.75
143,1.762963,54,95.20,300,2.75
144,1.486250,64,95.12,300,2.75
145,1.793208,53,95.04,300,2.75
146,1.871373,51,95.44,300,2.75
147,1.508571,63,95.04,300,2.75
148,1.942857,49,95.20,300,2.75
149,1.509841,63,95.12,300,2.75
150,1.561967,61,95.28,300,2.75
151,1.507937,63,95.00,300,2.75
152,1.642069,58,95.24,300,2.75
153,1.728000,55,95.04,300,2.75
154,1.696429,56,95.00,300,2.75
155,1.442424,66,95.20,300,2.75
156,1.397647,68,95.04,300,2.75
157,1.765926,54,95.36,300,2.75
158,1.670877,57,95.24,300,2.75
159,1.562623,61,95.32,300,2.75
160,1.560000,61,95.16,300,2.75
161,1.585333,60,95.12,300,2.75
162,1.697857,56,95.08,300,2.75
163,1.358857,70,95.12,300,2.75
164,1.612881,59,95.16,300,2.75
165,1.670175,57,95.20,300,2.75
166,1.486250,64,95.12,300,2.75
167,1.488750,64,95.28,300,2.75
168,1.588667,60,95.32,300,2.75
169,1.827692,52,95.04,300,2.75
170,1.617627,59,95.44,300,2.75
171,1.285405,74,95.12,300,2.75
172,1.491250,64,95.44,300,2.75
173,1.441818,66,95.16,300,2.75
174,1.561967,61,95.28,300,2.75
175,1.728000,55,95.04,300,2.75
176,1.729455,55,95.12,300,2.75
177,1.462769,65,95.08,300,2.75
178,1.947755,49,95.44,300,2.75
179,1.797736,53,95.28,300,2.75
180,1.558033,61,95.04,300,2.75
181,1.557377,61,95.00,300,2.75
182,1.900000,50,95.00,300,2.75
183,1.735273,55,95.44,300,2.75
184,1.206076,79,95.28,300,2.75
185,1.488750,64,95.28,300,2.75
186,1.610169,59,95.00,300,2.75
187,1.361714,70,95.32,300,2.75
188,1.511111,63,95.20,300,2.75
189,1.586667,60,95.20,300,2.75
190,1.586000,60,95.16,300,2.75
191,1.485625,64,95.08,300,2.75
192,1.418507,67,95.04,300,2.75
193,1.586667,60,95.20,300,2.75
194,1.588000,60,95.28,300,2.75
195,1.610847,59,95.04,300,2.75
196,1.612881,59,95.16,300,2.75
197,1.760000,54,95.04,300,2.75
198,1.562623,61,95.32,300,2.75
199,1.731636,55,95.24,300,2.75
200,1.946939,49,95.40,300,2.75
201,1.642069,58,95.24,300,2.75
202,1.732364,55,95.28,300,2.75
203,1.511746,63,95.24,300,2.75
204,1.732364,55,95.28,300,2.75
