trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,0.805763,118,95.08,150,4
2,1.023656,93,95.20,150,4
3,1.013191,94,95.24,150,4
4,0.937255,102,95.60,150,4
5,0.868000,110,95.48,150,4
6,0.933333,102,95.20,150,4
7,0.857658,111,95.20,150,4
8,0.951600,100,95.16,150,4
9,0.983918,97,95.44,150,4
10,0.865091,110,95.16,150,4
11,0.827130,115,95.12,150,4
12,0.954400,100,95.44,150,4
13,0.871560,109,95.00,150,4
14,1.012340,94,95.16,150,4
15,1.036087,92,95.32,150,4
16,0.833333,114,95.00,150,4
17,1.002105,95,95.20,150,4
18,0.969796,98,95.04,150,4
19,0.864000,110,95.04,150,4
20,0.914231,104,95.08,150,4
21,0.898491,106,95.24,150,4
22,0.842832,113,95.24,150,4
23,0.841062,113,95.04,150,4
24,0.925049,103,95.28,150,4
25,0.969796,98,95.04,150,4
26,0.857297,111,95.16,150,4
27,0.820690,116,95.20,150,4
28,0.925049,103,95.28,150,4
29,0.812650,117,95.08,150,4
30,0.906286,105,95.16,150,4
31,0.818966,116,95.00,150,4
32,0.971429,98,95.20,150,4
33,0.849286,112,95.12,150,4
34,0.856937,111,95.12,150,4
35,0.709254,134,95.04,150,4
36,0.931373,102,95.00,150,4
37,0.882593,108,95.32,150,4
38,0.767097,124,95.12,150,4
39,0.793333,120,95.20,150,4
40,0.850714,112,95.28,150,4
41,0.941782,101,95.12,150,4
42,0.915769,104,95.24,150,4
43,0.932941,102,95.16,150,4
44,0.814359,117,95.28,150,4
45,0.820345,116,95.16,150,4
46,0.880741,108,95.12,150,4
47,1.006737,95,95.64,150,4
48,0.979794,97,95.04,150,4
49,0.917692,104,95.44,150,4
50,0.972245,98,95.28,150,4
51,0.985979,97,95.64,150,4
52,0.972245,98,95.28,150,4
53,0.858018,111,95.24,150,4
54,0.959596,99,95.00,150,4
55,0.960000,99,95.04,150,4
56,0.905905,105,95.12,150,4
57,0.773008,123,95.08,150,4
58,0.962828,99,95.32,150,4
59,0.962020,99,95.24,150,4
60,0.913462,104,95.00,150,4
61,0.845310,113,95.52,150,4
62,0.950800,100,95.08,150,4
63,0.888598,107,95.08,150,4
64,0.944554,101,95.40,150,4
65,0.799664,119,95.16,150,4
66,0.905524,105,95.08,150,4
67,0.891589,107,95.40,150,4
68,0.951200,100,95.12,150,4
69,0.963232,99,95.36,150,4
70,0.931373,102,95.00,150,4
71,0.906667,105,95.20,150,4
72,0.812991,117,95.12,150,4
73,0.849643,112,95.16,150,4
74,0.950400,100,95.04,150,4
75,0.951600,100,95.16,150,4
76,0.857297,111,95.16,150,4
77,0.933333,102,95.20,150,4
78,0.979381,97,95.00,150,4
79,0.857297,111,95.16,150,4
80,0.833333,114,95.00,150,4
81,0.785785,121,95.08,150,4
82,0.829217,115,95.36,150,4
83,0.972245,98,95.28,150,4
84,0.960404,99,95.08,150,4
85,0.943366,101,95.28,150,4
86,0.881111,108,95.16,150,4
87,0.890467,107,95.28,150,4
88,0.959596,99,95.00,150,4
89,0.857658,111,95.20,150,4
90,0.811966,117,95.00,150,4
91,0.962424,99,95.28,150,4
92,1.049231,91,95.48,150,4
93,0.772358,123,95.00,150,4
94,1.059111,90,95.32,150,4
95,0.934510,102,95.32,150,4
96,0.916154,104,95.28,150,4
97,0.899623,106,95.36,150,4
98,0.897736,106,95.16,150,4
99,0.992083,96,95.24,150,4
100,0.925437,103,95.32,150,4
101,0.849286,112,95.12,150,4
102,1.010638,94,95.00,150,4
103,0.953600,100,95.36,150,4
104,1.068764,89,95.12,150,4
105,0.881111,108,95.16,150,4
106,0.851071,112,95.32,150,4
107,0.801345,119,95.36,150,4
108,0.940594,101,95.00,150,4
109,0.865818,110,95.24,150,4
110,0.932941,102,95.16,150,4
111,0.934902,102,95.36,150,4
112,0.904762,105,95.00,150,4
113,0.850714,112,95.28,150,4
114,1.014894,94,95.40,150,4
115,0.905905,105,95.12,150,4
116,0.981031,97,95.16,150,4
117,0.954000,100,95.40,150,4
118,0.951200,100,95.12,150,4
119,0.794333,120,95.32,150,4
120,0.982268,97,95.28,150,4
121,0.933333,102,95.20,150,4
122,0.932549,102,95.12,150,4
123,0.950000,100,95.00,150,4
124,0.915000,104,95.16,150,4
125,0.940990,101,95.04,150,4
126,0.865091,110,95.16,150,4
127,0.874862,109,95.36,150,4
128,0.953600,100,95.36,150,4
129,0.792333,120,95.08,150,4
130,1.023656,93,95.20,150,4
131,0.991250,96,95.16,150,4
132,1.057778,90,95.20,150,4
133,0.872661,109,95.12,150,4
134,0.925049,103,95.28,150,4
135,0.868000,110,95.48,150,4
136,0.856216,111,95.04,150,4
137,0.848929,112,95.08,150,4
138,0.904762,105,95.00,150,4
139,0.979381,97,95.00,150,4
140,0.940594,101,95.00,150,4
141,1.022796,93,95.12,150,4
142,0.841416,113,95.08,150,4
143,0.916154,104,95.28,150,4
144,0.896604,106,95.04,150,4
145,0.800336,119,95.24,150,4
146,0.842832,113,95.24,150,4
147,0.944158,101,95.36,150,4
148,0.834035,114,95.08,150,4
149,0.819655,116,95.08,150,4
150,0.818966,116,95.00,150,4
151,0.756508,126,95.32,150,4
152,0.907810,105,95.32,150,4
153,0.962424,99,95.28,150,4
154,1.000000,95,95.00,150,4
155,1.011064,94,95.04,150,4
156,0.990833,96,95.12,150,4
157,0.843540,113,95.32,150,4
158,0.874128,109,95.28,150,4
159,0.992500,96,95.28,150,4
160,0.992083,96,95.24,150,4
161,0.743125,128,95.12,150,4
162,0.917692,104,95.44,150,4
163,0.944158,101,95.36,150,4
164,1.056000,90,95.04,150,4
165,0.792667,120,95.12,150,4
166,0.916923,104,95.36,150,4
167,0.767419,124,95.16,150,4
168,0.923883,103,95.16,150,4
169,0.780656,122,95.24,150,4
170,0.888972,107,95.12,150,4
171,0.779672,122,95.12,150,4
172,0.798655,119,95.04,150,4
173,1.092414,87,95.04,150,4
174,0.924272,103,95.20,150,4
175,0.905905,105,95.12,150,4
176,0.864364,110,95.08,150,4
177,0.761920,125,95.24,150,4
178,0.923883,103,95.16,150,4
179,0.827478,115,95.16,150,4
180,0.806441,118,95.16,150,4
181,1.056889,90,95.12,150,4
182,0.971429,98,95.20,150,4
183,0.798319,119,95.00,150,4
184,0.925049,103,95.28,150,4
185,0.907048,105,95.24,150,4
186,0.940594,101,95.00,150,4
187,0.985155,97,95.56,150,4
188,0.841770,113,95.12,150,4
189,0.992083,96,95.24,150,4
190,0.908190,105,95.36,150,4
191,1.003368,95,95.32,150,4
192,0.880370,108,95.08,150,4
193,0.905905,105,95.12,150,4
194,0.761280,125,95.16,150,4
195,0.756190,126,95.28,150,4
196,0.866909,110,95.36,150,4
197,0.843894,113,95.36,150,4
198,0.888972,107,95.12,150,4
199,0.786116,121,95.12,150,4
200,0.923107,103,95.08,150,4
201,0.953600,100,95.36,150,4
202,0.785785,121,95.08,150,4
203,0.884074,108,95.48,150,4
204,0.899245,106,95.32,150,4
205,1.002105,95,95.20,150,4
206,0.914615,104,95.12,150,4
207,0.822414,116,95.40,150,4
208,0.970204,98,95.08,150,4
209,0.906286,105,95.16,150,4
210,0.882222,108,95.28,150,4
211,0.954400,100,95.44,150,4
212,0.913846,104,95.04,150,4
213,0.864364,110,95.08,150,4
214,0.916923,104,95.36,150,4
215,0.826435,115,95.04,150,4
216,0.801345,119,95.36,150,4
217,0.950400,100,95.04,150,4
218,0.914231,104,95.08,150,4
219,0.863636,110,95.00,150,4
220,0.954400,100,95.44,150,4
221,0.850357,112,95.24,150,4
222,0.904762,105,95.00,150,4
223,0.873028,109,95.16,150,4
224,0.953200,100,95.32,150,4
225,0.786116,121,95.12,150,4
226,0.872661,109,95.12,150,4
227,1.011489,94,95.08,150,4
228,0.942178,101,95.16,150,4
229,0.843894,113,95.36,150,4
230,0.964040,99,95.44,150,4
231,0.851071,112,95.32,150,4
232,0.973878,98,95.44,150,4
233,0.922330,103,95.00,150,4
234,0.952000,100,95.20,150,4
235,0.800000,119,95.20,150,4
236,0.843186,113,95.28,150,4
237,0.866909,110,95.36,150,4
238,0.755238,126,95.16,150,4
239,0.908190,105,95.36,150,4
240,0.660833,144,95.16,150,4
241,0.914615,104,95.12,150,4
242,0.889346,107,95.16,150,4
243,0.927379,103,95.52,150,4
244,1.014043,94,95.32,150,4
245,0.932157,102,95.08,150,4
246,0.879630,108,95.00,150,4
247,0.931765,102,95.04,150,4
248,0.941386,101,95.08,150,4
249,0.766774,124,95.08,150,4
250,0.880370,108,95.08,150,4
251,0.971837,98,95.24,150,4
252,0.969796,98,95.04,150,4
253,0.826087,115,95.00,150,4
254,0.890467,107,95.28,150,4
255,0.971837,98,95.24,150,4
256,0.767419,124,95.16,150,4
257,0.897358,106,95.12,150,4
258,0.889346,107,95.16,150,4
259,0.786446,121,95.16,150,4
260,0.942178,101,95.16,150,4
261,0.940594,101,95.00,150,4
262,0.973469,98,95.40,150,4
263,0.908571,105,95.40,150,4
264,0.924660,103,95.24,150,4
265,0.866182,110,95.28,150,4
266,0.826087,115,95.00,150,4
267,0.766129,124,95.00,150,4
268,1.004211,95,95.40,150,4
269,0.887850,107,95.00,150,4
270,0.940990,101,95.04,150,4
271,0.922330,103,95.00,150,4
272,0.932941,102,95.16,150,4
273,1.002105,95,95.20,150,4
274,0.757143,126,95.40,150,4
275,0.785785,121,95.08,150,4
276,0.933725,102,95.24,150,4
277,1.046154,91,95.20,150,4
278,0.942574,101,95.20,150,4
279,0.834386,114,95.12,150,4
280,0.850714,112,95.28,150,4
281,0.971837,98,95.24,150,4
282,0.970612,98,95.12,150,4
283,0.872294,109,95.08,150,4
284,0.922330,103,95.00,150,4
285,0.889346,107,95.16,150,4
286,0.896226,106,95.00,150,4
287,1.050110,91,95.56,150,4
288,0.992917,96,95.32,150,4
289,0.961212,99,95.16,150,4
290,0.934118,102,95.28,150,4
291,0.807119,118,95.24,150,4
292,0.964040,99,95.44,150,4
293,0.867636,110,95.44,150,4
294,0.792000,120,95.04,150,4
295,0.880370,108,95.08,150,4
296,0.888972,107,95.12,150,4
297,0.982268,97,95.28,150,4
298,0.866545,110,95.32,150,4
299,0.819310,116,95.04,150,4
300,0.916154,104,95.28,150,4
301,0.962424,99,95.28,150,4
302,0.855856,111,95.00,150,4
303,0.905905,105,95.12,150,4
304,1.005474,95,95.52,150,4
305,0.827130,115,95.12,150,4
306,0.940990,101,95.04,150,4
307,0.942574,101,95.20,150,4
308,0.940594,101,95.00,150,4
309,0.953600,100,95.36,150,4
310,0.873761,109,95.24,150,4
311,0.857658,111,95.20,150,4
312,0.826435,115,95.04,150,4
313,0.881111,108,95.16,150,4
314,0.907810,105,95.32,150,4
315,0.828174,115,95.24,150,4
316,0.934510,102,95.32,150,4
317,0.754921,126,95.12,150,4
318,0.963636,99,95.40,150,4
319,0.941386,101,95.08,150,4
320,1.038261,92,95.52,150,4
321,0.905905,105,95.12,150,4
322,0.848571,112,95.04,150,4
323,0.924272,103,95.20,150,4
324,0.952400,100,95.24,150,4
325,0.889720,107,95.20,150,4
326,0.834386,114,95.12,150,4
327,0.915000,104,95.16,150,4
328,0.880741,108,95.12,150,4
329,0.944950,101,95.44,150,4
330,0.932941,102,95.16,150,4
331,1.005895,95,95.56,150,4
332,0.933333,102,95.20,150,4
