trial,efficiency,steps,coverage_pct,agents,repulsion_g
1,1.428657,67,95.72,300,4
2,1.766667,54,95.40,300,4
3,1.510476,63,95.16,300,4
4,1.422687,67,95.32,300,4
5,1.488125,64,95.24,300,4
6,1.377391,69,95.04,300,4
7,1.441818,66,95.16,300,4
8,1.671579,57,95.28,300,4
9,1.593333,60,95.60,300,4
10,1.561311,61,95.24,300,4
11,1.382609,69,95.40,300,4
12,1.380290,69,95.24,300,4
13,1.563279,61,95.36,300,4
14,1.700000,56,95.20,300,4
15,1.417910,67,95.00,300,4
16,1.485000,64,95.04,300,4
17,1.489375,64,95.32,300,4
18,1.419104,67,95.08,300,4
19,1.441212,66,95.12,300,4
20,1.323889,72,95.32,300,4
21,1.490000,64,95.36,300,4
22,1.447273,66,95.52,300,4
23,1.667368,57,95.04,300,4
24,1.447879,66,95.56,300,4
25,1.419701,67,95.12,300,4
26,1.538065,62,95.36,300,4
27,1.610169,59,95.00,300,4
28,1.533548,62,95.08,300,4
29,1.637931,58,95.00,300,4
30,1.668070,57,95.08,300,4
31,1.583333,60,95.00,300,4
32,1.509206,63,95.08,300,4
33,1.443636,66,95.28,300,4
34,1.361714,70,95.32,300,4
35,1.637931,58,95.00,300,4
36,1.400588,68,95.24,300,4
37,1.302466,73,95.08,300,4
38,1.567213,61,95.60,300,4
39,1.673684,57,95.40,300,4
40,1.536774,62,95.28,300,4
41,1.590667,60,95.44,300,4
42,1.538710,62,95.40,300,4
43,1.514921,63,95.44,300,4
44,1.487500,64,95.20,300,4
45,1.345352,71,95.52,300,4
46,1.560000,61,95.16,300,4
47,1.533548,62,95.08,300,4
48,1.532258,62,95.00,300,4
49,1.642069,58,95.24,300,4
50,1.508571,63,95.04,300,4
51,1.707857,56,95.64,300,4
52,1.532258,62,95.00,300,4
53,1.462154,65,95.04,300,4
54,1.441818,66,95.16,300,4
55,1.584000,60,95.04,300,4
56,1.535484,62,95.20,300,4
57,1.533548,62,95.08,300,4
58,1.646207,58,95.48,300,4
59,1.771111,54,95.64,300,4
60,1.419701,67,95.12,300,4
61,1.360571,70,95.24,300,4
62,1.377971,69,95.08,300,4
63,1.269333,75,95.20,300,4
64,1.466462,65,95.32,300,4
65,1.376812,69,95.00,300,4
66,1.640000,58,95.12,300,4
67,1.400000,68,95.20,300,4
68,1.592667,60,95.56,300,4
69,1.564590,61,95.44,300,4
70,1.467692,65,95.40,300,4
71,1.643448,58,95.32,300,4
