trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.796471,34,95.08,300,1.5,0.99,5
2,2.717714,35,95.12,300,1.5,0.99,5
3,2.802353,34,95.28,300,1.5,0.99,5
4,2.571892,37,95.16,300,1.5,0.99,5
5,2.650000,36,95.40,300,1.5,0.99,5
6,2.503158,38,95.12,300,1.5,0.99,5
7,2.655556,36,95.60,300,1.5,0.99,5
8,2.808235,34,95.48,300,1.5,0.99,5
9,2.645556,36,95.24,300,1.5,0.99,5
10,2.648889,36,95.36,300,1.5,0.99,5
11,2.718857,35,95.16,300,1.5,0.99,5
12,2.725714,35,95.40,300,1.5,0.99,5
13,2.640000,36,95.04,300,1.5,0.99,5
14,2.724571,35,95.36,300,1.5,0.99,5
15,2.796471,34,95.08,300,1.5,0.99,5
16,2.886061,33,95.24,300,1.5,0.99,5
17,2.568649,37,95.04,300,1.5,0.99,5
18,2.808235,34,95.48,300,1.5,0.99,5
19,2.796471,34,95.08,300,1.5,0.99,5
20,2.723429,35,95.32,300,1.5,0.99,5
21,2.721143,35,95.24,300,1.5,0.99,5
22,2.640000,36,95.04,300,1.5,0.99,5
23,2.646667,36,95.28,300,1.5,0.99,5
24,2.724571,35,95.36,300,1.5,0.99,5
25,2.578378,37,95.40,300,1.5,0.99,5
26,2.650000,36,95.40,300,1.5,0.99,5
27,2.569730,37,95.08,300,1.5,0.99,5
28,2.653333,36,95.52,300,1.5,0.99,5
29,2.795294,34,95.04,300,1.5,0.99,5
30,2.645556,36,95.24,300,1.5,0.99,5
31,2.648889,36,95.36,300,1.5,0.99,5
32,2.802353,34,95.28,300,1.5,0.99,5
33,2.720000,35,95.20,300,1.5,0.99,5
34,2.716571,35,95.08,300,1.5,0.99,5
35,2.726857,35,95.44,300,1.5,0.99,5
36,2.650000,36,95.40,300,1.5,0.99,5
37,2.809412,34,95.52,300,1.5,0.99,5
38,2.654444,36,95.56,300,1.5,0.99,5
39,2.646667,36,95.28,300,1.5,0.99,5
40,2.569730,37,95.08,300,1.5,0.99,5
41,2.722286,35,95.28,300,1.5,0.99,5
42,2.804706,34,95.36,300,1.5,0.99,5
