trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,1.901600,50,95.08,300,1.5,0.9,5
2,1.900000,50,95.00,300,1.5,0.9,5
3,2.077391,46,95.56,300,1.5,0.9,5
4,2.159091,44,95.00,300,1.5,0.9,5
5,2.112889,45,95.08,300,1.5,0.9,5
6,1.835385,52,95.44,300,1.5,0.9,5
7,1.944490,49,95.28,300,1.5,0.9,5
8,1.833077,52,95.32,300,1.5,0.9,5
9,1.981667,48,95.12,300,1.5,0.9,5
10,1.640000,58,95.12,300,1.5,0.9,5
11,2.067826,46,95.12,300,1.5,0.9,5
12,1.979167,48,95.00,300,1.5,0.9,5
13,2.164545,44,95.24,300,1.5,0.9,5
14,2.076522,46,95.52,300,1.5,0.9,5
15,1.830769,52,95.20,300,1.5,0.9,5
16,2.021277,47,95.00,300,1.5,0.9,5
17,1.794717,53,95.12,300,1.5,0.9,5
18,2.122667,45,95.52,300,1.5,0.9,5
19,1.612203,59,95.12,300,1.5,0.9,5
20,1.900800,50,95.04,300,1.5,0.9,5
21,1.584667,60,95.08,300,1.5,0.9,5
22,1.902400,50,95.12,300,1.5,0.9,5
23,2.170909,44,95.52,300,1.5,0.9,5
24,1.865882,51,95.16,300,1.5,0.9,5
25,1.830000,52,95.16,300,1.5,0.9,5
26,1.830769,52,95.20,300,1.5,0.9,5
27,1.942857,49,95.20,300,1.5,0.9,5
28,1.991667,48,95.60,300,1.5,0.9,5
29,1.901600,50,95.08,300,1.5,0.9,5
30,2.021277,47,95.00,300,1.5,0.9,5
31,2.114667,45,95.16,300,1.5,0.9,5
32,1.833077,52,95.32,300,1.5,0.9,5
33,1.985833,48,95.32,300,1.5,0.9,5
34,1.983333,48,95.20,300,1.5,0.9,5
35,1.900800,50,95.04,300,1.5,0.9,5
36,2.438974,39,95.12,300,1.5,0.9,5
37,2.067826,46,95.12,300,1.5,0.9,5
38,2.121778,45,95.48,300,1.5,0.9,5
39,1.796981,53,95.24,300,1.5,0.9,5
40,1.988333,48,95.44,300,1.5,0.9,5
41,1.759259,54,95.00,300,1.5,0.9,5
42,2.111111,45,95.00,300,1.5,0.9,5
43,1.870588,51,95.40,300,1.5,0.9,5
44,1.989167,48,95.48,300,1.5,0.9,5
45,1.979167,48,95.00,300,1.5,0.9,5
46,1.762222,54,95.16,300,1.5,0.9,5
47,2.264762,42,95.12,300,1.5,0.9,5
48,2.024681,47,95.16,300,1.5,0.9,5
49,1.697857,56,95.08,300,1.5,0.9,5
50,1.643448,58,95.32,300,1.5,0.9,5
51,1.900800,50,95.04,300,1.5,0.9,5
52,1.938776,49,95.00,300,1.5,0.9,5
53,1.902400,50,95.12,300,1.5,0.9,5
54,1.614915,59,95.28,300,1.5,0.9,5
55,2.111111,45,95.00,300,1.5,0.9,5
56,1.862745,51,95.00,300,1.5,0.9,5
57,1.865882,51,95.16,300,1.5,0.9,5
58,2.071304,46,95.28,300,1.5,0.9,5
59,1.901600,50,95.08,300,1.5,0.9,5
60,1.610169,59,95.00,300,1.5,0.9,5
61,2.065217,46,95.00,300,1.5,0.9,5
62,2.113778,45,95.12,300,1.5,0.9,5
63,1.872941,51,95.52,300,1.5,0.9,5
64,1.837692,52,95.56,300,1.5,0.9,5
65,2.173636,44,95.64,300,1.5,0.9,5
66,1.760741,54,95.08,300,1.5,0.9,5
67,2.165455,44,95.28,300,1.5,0.9,5
68,1.863529,51,95.04,300,1.5,0.9,5
69,1.980833,48,95.08,300,1.5,0.9,5
70,1.987500,48,95.40,300,1.5,0.9,5
71,1.733818,55,95.36,300,1.5,0.9,5
