trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.655556,36,95.60,300,1.5,1,5
2,2.720000,35,95.20,300,1.5,1,5
3,2.728000,35,95.48,300,1.5,1,5
4,2.795294,34,95.04,300,1.5,1,5
5,2.720000,35,95.20,300,1.5,1,5
6,2.716571,35,95.08,300,1.5,1,5
7,2.647778,36,95.32,300,1.5,1,5
8,2.509474,38,95.36,300,1.5,1,5
9,2.646667,36,95.28,300,1.5,1,5
10,2.725714,35,95.40,300,1.5,1,5
11,2.650000,36,95.40,300,1.5,1,5
12,2.797647,34,95.12,300,1.5,1,5
13,2.718857,35,95.16,300,1.5,1,5
14,2.577297,37,95.36,300,1.5,1,5
15,2.717714,35,95.12,300,1.5,1,5
16,2.728000,35,95.48,300,1.5,1,5
17,2.718857,35,95.16,300,1.5,1,5
18,2.718857,35,95.16,300,1.5,1,5
19,2.878788,33,95.00,300,1.5,1,5
20,2.720000,35,95.20,300,1.5,1,5
21,2.796471,34,95.08,300,1.5,1,5
22,2.642222,36,95.12,300,1.5,1,5
23,2.648889,36,95.36,300,1.5,1,5
24,2.646667,36,95.28,300,1.5,1,5
25,2.714286,35,95.00,300,1.5,1,5
26,2.722286,35,95.28,300,1.5,1,5
27,2.651111,36,95.44,300,1.5,1,5
28,2.810588,34,95.56,300,1.5,1,5
29,2.724571,35,95.36,300,1.5,1,5
30,2.725714,35,95.40,300,1.5,1,5
31,2.722286,35,95.28,300,1.5,1,5
32,2.800000,34,95.20,300,1.5,1,5
33,2.641111,36,95.08,300,1.5,1,5
34,2.642222,36,95.12,300,1.5,1,5
35,2.716571,35,95.08,300,1.5,1,5
36,2.794118,34,95.00,300,1.5,1,5
37,2.880000,33,95.04,300,1.5,1,5
38,2.718857,35,95.16,300,1.5,1,5
39,2.715429,35,95.04,300,1.5,1,5
40,2.646667,36,95.28,300,1.5,1,5
41,2.638889,36,95.00,300,1.5,1,5
42,2.721143,35,95.24,300,1.5,1,5
43,2.717714,35,95.12,300,1.5,1,5
44,2.650000,36,95.40,300,1.5,1,5
45,2.722286,35,95.28,300,1.5,1,5
46,2.723429,35,95.32,300,1.5,1,5
47,2.796471,34,95.08,300,1.5,1,5
48,2.654444,36,95.56,300,1.5,1,5
49,2.643333,36,95.16,300,1.5,1,5
50,2.715429,35,95.04,300,1.5,1,5
51,2.644444,36,95.20,300,1.5,1,5
52,2.638889,36,95.00,300,1.5,1,5
53,2.715429,35,95.04,300,1.5,1,5
54,2.724571,35,95.36,300,1.5,1,5
55,2.717714,35,95.12,300,1.5,1,5
56,2.795294,34,95.04,300,1.5,1,5
57,2.726857,35,95.44,300,1.5,1,5
58,2.798824,34,95.16,300,1.5,1,5
59,2.648889,36,95.36,300,1.5,1,5
60,2.800000,34,95.20,300,1.5,1,5
61,2.506316,38,95.24,300,1.5,1,5
62,2.574054,37,95.24,300,1.5,1,5
63,2.796471,34,95.08,300,1.5,1,5
64,2.718857,35,95.16,300,1.5,1,5
65,2.725714,35,95.40,300,1.5,1,5
66,2.725714,35,95.40,300,1.5,1,5
