trial,efficiency,steps,coverage_pct,agents,repulsion_g,momentum,scan_radius
1,2.648889,36,95.36,300,1.5,0.99,4
2,2.643333,36,95.16,300,1.5,0.99,4
3,2.718857,35,95.16,300,1.5,0.99,4
4,2.794118,34,95.00,300,1.5,0.99,4
5,2.717714,35,95.12,300,1.5,0.99,4
6,2.442051,39,95.24,300,1.5,0.99,4
7,2.640000,36,95.04,300,1.5,0.99,4
8,2.723429,35,95.32,300,1.5,0.99,4
9,2.640000,36,95.04,300,1.5,0.99,4
10,2.722286,35,95.28,300,1.5,0.99,4
11,2.714286,35,95.00,300,1.5,0.99,4
12,2.577297,37,95.36,300,1.5,0.99,4
13,2.575135,37,95.28,300,1.5,0.99,4
14,2.800000,34,95.20,300,1.5,0.99,4
15,2.728000,35,95.48,300,1.5,0.99,4
16,2.880000,33,95.04,300,1.5,0.99,4
17,2.973750,32,95.16,300,1.5,0.99,4
18,2.807059,34,95.44,300,1.5,0.99,4
19,2.720000,35,95.20,300,1.5,0.99,4
20,2.644444,36,95.20,300,1.5,0.99,4
21,2.576216,37,95.32,300,1.5,0.99,4
22,2.723429,35,95.32,300,1.5,0.99,4
23,2.721143,35,95.24,300,1.5,0.99,4
24,2.796471,34,95.08,300,1.5,0.99,4
25,2.643333,36,95.16,300,1.5,0.99,4
26,2.724571,35,95.36,300,1.5,0.99,4
27,2.723429,35,95.32,300,1.5,0.99,4
28,2.803529,34,95.32,300,1.5,0.99,4
29,2.731429,35,95.60,300,1.5,0.99,4
30,2.717714,35,95.12,300,1.5,0.99,4
31,2.883636,33,95.16,300,1.5,0.99,4
32,2.800000,34,95.20,300,1.5,0.99,4
33,2.805882,34,95.40,300,1.5,0.99,4
34,2.575135,37,95.28,300,1.5,0.99,4
35,2.723429,35,95.32,300,1.5,0.99,4
36,2.650000,36,95.40,300,1.5,0.99,4
37,2.798824,34,95.16,300,1.5,0.99,4
38,2.646667,36,95.28,300,1.5,0.99,4
39,2.724571,35,95.36,300,1.5,0.99,4
40,2.883636,33,95.16,300,1.5,0.99,4
41,2.648889,36,95.36,300,1.5,0.99,4
42,2.725714,35,95.40,300,1.5,0.99,4
43,2.641111,36,95.08,300,1.5,0.99,4
44,2.642222,36,95.12,300,1.5,0.99,4
45,2.795294,34,95.04,300,1.5,0.99,4
46,2.717714,35,95.12,300,1.5,0.99,4
47,2.798824,34,95.16,300,1.5,0.99,4
48,2.722286,35,95.28,300,1.5,0.99,4
49,2.715429,35,95.04,300,1.5,0.99,4
50,2.641111,36,95.08,300,1.5,0.99,4
51,2.642222,36,95.12,300,1.5,0.99,4
52,2.650000,36,95.40,300,1.5,0.99,4
53,2.886061,33,95.24,300,1.5,0.99,4
54,2.725714,35,95.40,300,1.5,0.99,4
55,2.642222,36,95.12,300,1.5,0.99,4
56,2.718857,35,95.16,300,1.5,0.99,4
57,2.802353,34,95.28,300,1.5,0.99,4
58,2.717714,35,95.12,300,1.5,0.99,4
59,2.800000,34,95.20,300,1.5,0.99,4
60,2.640000,36,95.04,300,1.5,0.99,4
61,2.446154,39,95.40,300,1.5,0.99,4
62,2.880000,33,95.04,300,1.5,0.99,4
63,2.506316,38,95.24,300,1.5,0.99,4
64,2.582703,37,95.56,300,1.5,0.99,4
65,2.651111,36,95.44,300,1.5,0.99,4
66,2.645556,36,95.24,300,1.5,0.99,4
67,2.579459,37,95.44,300,1.5,0.99,4
68,2.880000,33,95.04,300,1.5,0.99,4
69,2.812941,34,95.64,300,1.5,0.99,4
70,2.647778,36,95.32,300,1.5,0.99,4
71,2.881212,33,95.08,300,1.5,0.99,4
72,2.723429,35,95.32,300,1.5,0.99,4
73,2.800000,34,95.20,300,1.5,0.99,4
74,2.580541,37,95.48,300,1.5,0.99,4
75,2.715429,35,95.04,300,1.5,0.99,4
76,2.717714,35,95.12,300,1.5,0.99,4
77,2.725714,35,95.40,300,1.5,0.99,4
78,2.794118,34,95.00,300,1.5,0.99,4
79,2.716571,35,95.08,300,1.5,0.99,4
80,2.652222,36,95.48,300,1.5,0.99,4
81,2.578378,37,95.40,300,1.5,0.99,4
82,2.722286,35,95.28,300,1.5,0.99,4
83,2.802353,34,95.28,300,1.5,0.99,4
84,2.722286,35,95.28,300,1.5,0.99,4
85,2.575135,37,95.28,300,1.5,0.99,4
86,2.720000,35,95.20,300,1.5,0.99,4
87,2.796471,34,95.08,300,1.5,0.99,4
88,2.507368,38,95.28,300,1.5,0.99,4
89,2.638889,36,95.00,300,1.5,0.99,4
90,2.805882,34,95.40,300,1.5,0.99,4
91,2.714286,35,95.00,300,1.5,0.99,4
92,2.714286,35,95.00,300,1.5,0.99,4
93,2.646667,36,95.28,300,1.5,0.99,4
94,2.726857,35,95.44,300,1.5,0.99,4
95,2.437949,39,95.08,300,1.5,0.99,4
96,2.569730,37,95.08,300,1.5,0.99,4
97,2.646667,36,95.28,300,1.5,0.99,4
98,2.643333,36,95.16,300,1.5,0.99,4
99,2.640000,36,95.04,300,1.5,0.99,4
100,2.444103,39,95.32,300,1.5,0.99,4
101,2.648889,36,95.36,300,1.5,0.99,4
102,2.878788,33,95.00,300,1.5,0.99,4
103,2.720000,35,95.20,300,1.5,0.99,4
104,2.803529,34,95.32,300,1.5,0.99,4
105,2.725714,35,95.40,300,1.5,0.99,4
106,2.576216,37,95.32,300,1.5,0.99,4
107,2.574054,37,95.24,300,1.5,0.99,4
108,2.721143,35,95.24,300,1.5,0.99,4
109,2.797647,34,95.12,300,1.5,0.99,4
110,2.569730,37,95.08,300,1.5,0.99,4
111,2.886061,33,95.24,300,1.5,0.99,4
112,2.640000,36,95.04,300,1.5,0.99,4
113,2.804706,34,95.36,300,1.5,0.99,4
114,2.645556,36,95.24,300,1.5,0.99,4
115,2.803529,34,95.32,300,1.5,0.99,4
116,2.726857,35,95.44,300,1.5,0.99,4
117,2.509474,38,95.36,300,1.5,0.99,4
118,2.640000,36,95.04,300,1.5,0.99,4
119,2.721143,35,95.24,300,1.5,0.99,4
120,2.971250,32,95.08,300,1.5,0.99,4
121,2.720000,35,95.20,300,1.5,0.99,4
122,2.716571,35,95.08,300,1.5,0.99,4
123,2.798824,34,95.16,300,1.5,0.99,4
124,2.642222,36,95.12,300,1.5,0.99,4
125,2.795294,34,95.04,300,1.5,0.99,4
126,2.638889,36,95.00,300,1.5,0.99,4
127,2.648889,36,95.36,300,1.5,0.99,4
128,2.795294,34,95.04,300,1.5,0.99,4
129,2.714286,35,95.00,300,1.5,0.99,4
130,2.794118,34,95.00,300,1.5,0.99,4
131,2.572973,37,95.20,300,1.5,0.99,4
132,2.715429,35,95.04,300,1.5,0.99,4
133,2.880000,33,95.04,300,1.5,0.99,4
134,2.725714,35,95.40,300,1.5,0.99,4
135,2.647778,36,95.32,300,1.5,0.99,4
136,2.646667,36,95.28,300,1.5,0.99,4
137,2.576216,37,95.32,300,1.5,0.99,4
