n,g,m,r,efficiency
150,2,0.9800000190734864,8,0.351289
150,5,0.9800000190734864,8,0.348489
150,4,0.9800000190734864,8,0.357422
150,6,0.9800000190734864,8,0.344311
150,5,0.9800000190734864,8,0.348933
150,3,0.9800000190734864,8,0.357422
150,6,0.9800000190734864,8,0.345067
150,2,0.9800000190734864,8,0.355511
150,4,0.9800000190734864,8,0.357956
150,5,0.9800000190734864,8,0.351333
150,4,0.9800000190734864,8,0.362178
150,2,0.9800000190734864,8,0.3568
150,3,0.9800000190734864,8,0.361689
150,3,0.9800000190734864,8,0.355644
150,4,0.9800000190734864,8,0.361511
150,5,0.9800000190734864,8,0.345778
150,2,0.9800000190734864,8,0.360444
150,3,0.9800000190734864,8,0.361333
150,6,0.9800000190734864,8,0.3368
150,2,0.9800000190734864,8,0.338267
150,6,0.9800000190734864,8,0.340222
150,2,0.9800000190734864,8,0.356444
150,4,0.9800000190734864,8,0.360711
150,4,0.9800000190734864,8,0.357556
150,6,0.9800000190734864,8,0.340356
150,3,0.9800000190734864,8,0.3676
150,6,0.9800000190734864,8,0.3428
150,2,0.9800000190734864,8,0.3508
150,2,0.9800000190734864,8,0.357467
150,4,0.9800000190734864,8,0.359333
150,4,0.9800000190734864,8,0.360844
150,5,0.9800000190734864,8,0.348667
150,2,0.9800000190734864,8,0.342044
150,6,0.9800000190734864,8,0.345022
150,3,0.9800000190734864,8,0.368489
150,2,0.9800000190734864,8,0.352844
150,2,0.9800000190734864,8,0.354489
150,3,0.9800000190734864,8,0.364178
150,2,0.9800000190734864,8,0.3464
150,5,0.9800000190734864,8,0.353556
150,4,0.9800000190734864,8,0.349689
150,3,0.9800000190734864,8,0.357778
150,3,0.9800000190734864,8,0.3556
150,5,0.9800000190734864,8,0.358489
150,2,0.9800000190734864,8,0.359778
150,5,0.9800000190734864,8,0.349956
150,2,0.9800000190734864,8,0.3444
150,2,0.9800000190734864,8,0.335778
150,2,0.9800000190734864,8,0.357067
150,5,0.9800000190734864,8,0.350044
150,5,0.9800000190734864,8,0.350667
150,6,0.9800000190734864,8,0.341289
150,2,0.9800000190734864,8,0.348622
150,5,0.9800000190734864,8,0.352044
150,2,0.9800000190734864,8,0.356089
150,3,0.9800000190734864,8,0.361956
150,6,0.9800000190734864,8,0.341378
150,3,0.9800000190734864,8,0.3588
150,3,0.9800000190734864,8,0.370044
150,6,0.9800000190734864,8,0.341778
150,2,0.9800000190734864,8,0.346933
150,3,0.9800000190734864,8,0.356622
150,5,0.9800000190734864,8,0.356311
150,3,0.9800000190734864,8,0.364444
150,6,0.9800000190734864,8,0.342178
150,2,0.9800000190734864,8,0.346533
150,3,0.9800000190734864,8,0.355022
150,3,0.9800000190734864,8,0.359422
150,4,0.9800000190734864,8,0.360489
150,5,0.9800000190734864,8,0.357022
150,6,0.9800000190734864,8,0.345333
150,4,0.9800000190734864,8,0.356889
150,3,0.9800000190734864,8,0.362533
150,4,0.9800000190734864,8,0.351733
150,5,0.9800000190734864,8,0.355022
150,3,0.9800000190734864,8,0.363911
150,4,0.9800000190734864,8,0.359911
150,4,0.9800000190734864,8,0.3616
150,4,0.9800000190734864,8,0.362933
150,5,0.9800000190734864,8,0.348978
150,2,0.9800000190734864,8,0.335244
150,2,0.9800000190734864,8,0.345156
150,3,0.9800000190734864,8,0.358267
150,4,0.9800000190734864,8,0.359467
150,2,0.9800000190734864,8,0.348756
150,5,0.9800000190734864,8,0.349956
150,4,0.9800000190734864,8,0.360044
150,3,0.9800000190734864,8,0.361644
150,4,0.9800000190734864,8,0.349022
150,3,0.9800000190734864,8,0.362356
150,3,0.9800000190734864,8,0.370267
150,4,0.9800000190734864,8,0.356444
150,6,0.9800000190734864,8,0.343689
150,5,0.9800000190734864,8,0.3468
150,4,0.9800000190734864,8,0.357156
150,5,0.9800000190734864,8,0.355022
150,6,0.9800000190734864,8,0.338222
150,2,0.9800000190734864,8,0.355244
150,5,0.9800000190734864,8,0.359156
150,3,0.9800000190734864,8,0.358978
150,6,0.9800000190734864,8,0.349067
150,5,0.9800000190734864,8,0.355378
150,2,0.9800000190734864,8,0.353289
150,3,0.9800000190734864,8,0.3548
150,4,0.9800000190734864,8,0.350667
150,3,0.9800000190734864,8,0.359689
150,5,0.9800000190734864,8,0.342756
150,6,0.9800000190734864,8,0.346044
150,2,0.9800000190734864,8,0.356089
150,4,0.9800000190734864,8,0.358933
150,3,0.9800000190734864,8,0.371689
150,2,0.9800000190734864,8,0.354578
150,6,0.9800000190734864,8,0.342533
150,4,0.9800000190734864,8,0.358756
150,5,0.9800000190734864,8,0.352533
150,2,0.9800000190734864,8,0.352578
150,5,0.9800000190734864,8,0.354667
150,5,0.9800000190734864,8,0.350933
150,3,0.9800000190734864,8,0.357867
150,2,0.9800000190734864,8,0.348711
150,5,0.9800000190734864,8,0.349778
150,6,0.9800000190734864,8,0.341867
150,4,0.9800000190734864,8,0.355156
150,5,0.9800000190734864,8,0.3432
150,3,0.9800000190734864,8,0.358222
150,4,0.9800000190734864,8,0.354533
150,2,0.9800000190734864,8,0.3424
150,6,0.9800000190734864,8,0.342667
150,6,0.9800000190734864,8,0.338356
150,5,0.9800000190734864,8,0.354756
150,4,0.9800000190734864,8,0.363822
150,2,0.9800000190734864,8,0.356044
150,6,0.9800000190734864,8,0.344044
150,2,0.9800000190734864,8,0.352933
150,4,0.9800000190734864,8,0.3572
150,2,0.9800000190734864,8,0.341111
