trial_id,gust_intensity,trial_index_within_gust_level,efficiency,voxels_covered,final_step_coverage_rate,mean_coverage_rate_across_steps,std_coverage_rate_across_steps
1,2,0,0.08164444444444445,1837,0.08164444444444445,0.1210727337813751,0.02934360569824473
2,2,1,0.08204444444444445,1846,0.08204444444444445,0.11742760860588339,0.029396479571299452
3,2,2,0.08106666666666666,1824,0.08106666666666666,0.12111891093054614,0.029222655876760737
4,2,3,0.08088888888888889,1820,0.08088888888888889,0.1216410873019029,0.03196199299783115
5,2,4,0.08217777777777778,1849,0.08217777777777778,0.11978317849731311,0.031703246733720526
6,2,5,0.08102222222222222,1823,0.08102222222222222,0.12141193462592109,0.03280053524299794
7,2,6,0.0828,1863,0.0828,0.12496248410495198,0.032143279246791334
8,2,7,0.08266666666666667,1860,0.08266666666666667,0.12440551953457245,0.0357000941898736
9,2,8,0.07955555555555556,1790,0.07955555555555556,0.12066890928763489,0.033907981327704347
10,2,9,0.08066666666666666,1815,0.08066666666666666,0.11984658040073924,0.030507580451828765
11,2,10,0.08035555555555556,1808,0.08035555555555556,0.11593313349946452,0.029284624773892556
12,2,11,0.08053333333333333,1812,0.08053333333333333,0.12286669810755778,0.03659538555971251
13,2,12,0.08275555555555555,1862,0.08275555555555555,0.12491699207777887,0.03367049430323142
14,2,13,0.08275555555555555,1862,0.08275555555555555,0.1262345264258711,0.03541838750248407
15,2,14,0.08284444444444444,1864,0.08284444444444444,0.12408465175194928,0.03287471666060254
16,2,15,0.0835111111111111,1879,0.0835111111111111,0.12992064251944624,0.036787646245452964
17,2,16,0.08226666666666667,1851,0.08226666666666667,0.12422075192986415,0.03128218941555467
18,2,17,0.08253333333333333,1857,0.08253333333333333,0.1236231658813242,0.03055239972441013
19,2,18,0.08302222222222222,1868,0.08302222222222222,0.12292131618334748,0.03237363468590059
20,2,19,0.08213333333333334,1848,0.08213333333333334,0.11275753038159422,0.02249202054490087
21,2,20,0.08333333333333333,1875,0.08333333333333333,0.12650910219105568,0.03690270955126182
22,2,21,0.08106666666666666,1824,0.08106666666666666,0.12222332735556418,0.036442649150635206
23,2,22,0.08133333333333333,1830,0.08133333333333333,0.12399964544394493,0.03688644085005011
24,2,23,0.08271111111111111,1861,0.08271111111111111,0.12141366689378578,0.03285475696945447
25,2,24,0.08195555555555556,1844,0.08195555555555556,0.12560384932180166,0.035491022249109896
26,2,25,0.08262222222222222,1859,0.08262222222222222,0.1250027206596124,0.032560767320275116
27,2,26,0.08177777777777778,1840,0.08177777777777778,0.12295137945108674,0.03325403520861212
28,2,27,0.08173333333333334,1839,0.08173333333333334,0.12079774734804442,0.03603535352101652
29,2,28,0.08,1800,0.08,0.12146398293453375,0.03453932981367345
30,2,29,0.08191111111111112,1843,0.08191111111111112,0.1196648627064265,0.028181285794781036
31,2,30,0.08035555555555556,1808,0.08035555555555556,0.1166654157180956,0.03380253135480072
32,2,31,0.08315555555555555,1871,0.08315555555555555,0.12595287026262203,0.03286238280892988
33,2,32,0.08315555555555555,1871,0.08315555555555555,0.12535967477444515,0.034157967902050335
34,2,33,0.0824,1854,0.0824,0.12268910900384926,0.03373146067054101
35,2,34,0.0832,1872,0.0832,0.12917994818616532,0.038201080370307096
36,2,35,0.08315555555555555,1871,0.08315555555555555,0.12344953470120051,0.034060027734854705
37,2,36,0.08297777777777778,1867,0.08297777777777778,0.12698964292464268,0.03625085467348919
38,2,37,0.082,1845,0.082,0.11940929525575626,0.030120646495914977
39,2,38,0.08275555555555555,1862,0.08275555555555555,0.11988885447601526,0.02939001905381898
40,2,39,0.08164444444444445,1837,0.08164444444444445,0.1192601663608654,0.02973098052015076
41,2,40,0.08084444444444444,1819,0.08084444444444444,0.12563509048521018,0.03365801806454044
42,2,41,0.08311111111111111,1870,0.08311111111111111,0.13248627441361827,0.037596761853029674
43,2,42,0.08062222222222222,1814,0.08062222222222222,0.12153485084948311,0.03298928068060605
44,2,43,0.08204444444444445,1846,0.08204444444444445,0.121705041200535,0.034957588942265444
45,2,44,0.0812,1827,0.0812,0.12250535791491325,0.03498607709276016
46,2,45,0.08413333333333334,1893,0.08413333333333334,0.1302122909444168,0.03627171562462679
47,2,46,0.08146666666666667,1833,0.08146666666666667,0.12415998243268798,0.03168546031354878
48,2,47,0.0816888888888889,1838,0.0816888888888889,0.11752529642512845,0.028650897612238543
49,2,48,0.08106666666666666,1824,0.08106666666666666,0.11976822525764341,0.03247114966594397
50,2,49,0.08253333333333333,1857,0.08253333333333333,0.12168923204698785,0.03241814332655718
51,3,0,0.08128888888888888,1829,0.08128888888888888,0.12287599498675979,0.03554260257769214
52,3,1,0.08137777777777777,1831,0.08137777777777777,0.11990620901223693,0.03239108445017554
53,3,2,0.08035555555555556,1808,0.08035555555555556,0.1186933024704566,0.032524025323296214
54,3,3,0.08217777777777778,1849,0.08217777777777778,0.12235048145859405,0.031193651829703482
55,3,4,0.08302222222222222,1868,0.08302222222222222,0.12511887113496323,0.033443083877050916
56,3,5,0.08302222222222222,1868,0.08302222222222222,0.12640480017441832,0.03407406879619698
57,3,6,0.08262222222222222,1859,0.08262222222222222,0.1249156401786964,0.0313433415259861
58,3,7,0.08142222222222223,1832,0.08142222222222223,0.11932312108732435,0.03288047610468915
59,3,8,0.0824,1854,0.0824,0.12312554406696,0.032905137742338504
60,3,9,0.08333333333333333,1875,0.08333333333333333,0.12884316079461472,0.03413051304557172
61,3,10,0.08382222222222223,1886,0.08382222222222223,0.1258763489861732,0.03197990704776921
62,3,11,0.08177777777777778,1840,0.08177777777777778,0.11644643961462937,0.027355674186837195
63,3,12,0.08235555555555556,1853,0.08235555555555556,0.12604139898207165,0.035298653542739214
64,3,13,0.082,1845,0.082,0.1250150097093335,0.03694712064385127
65,3,14,0.08128888888888888,1829,0.08128888888888888,0.12594318000814167,0.03814733855490596
66,3,15,0.08288888888888889,1865,0.08288888888888889,0.12361430871704997,0.0306135597234926
67,3,16,0.08164444444444445,1837,0.08164444444444445,0.12142885436861003,0.032481893528323515
68,3,17,0.08057777777777778,1813,0.08057777777777778,0.11450399956743244,0.027500460720832953
69,3,18,0.08155555555555556,1835,0.08155555555555556,0.1237064370002975,0.03403540961418461
70,3,19,0.0816888888888889,1838,0.0816888888888889,0.11944835917880542,0.031020778403393817
71,3,20,0.08231111111111111,1852,0.08231111111111111,0.12630918251045203,0.0353036832577898
72,3,21,0.08226666666666667,1851,0.08226666666666667,0.1256351534130217,0.03333091558140862
73,3,22,0.08297777777777778,1867,0.08297777777777778,0.12518599612580075,0.03606186874655065
74,3,23,0.08426666666666667,1896,0.08426666666666667,0.12885375808272184,0.037228534744009265
75,3,24,0.0824,1854,0.0824,0.1273799689048659,0.03479867222689506
76,3,25,0.08102222222222222,1823,0.08102222222222222,0.12007098556348993,0.03256255381981764
77,3,26,0.08217777777777778,1849,0.08217777777777778,0.12672928633311908,0.034385947944875477
78,3,27,0.08235555555555556,1853,0.08235555555555556,0.12379601815486022,0.03325910304886553
79,3,28,0.08248888888888889,1856,0.08248888888888889,0.12598492655372967,0.0358958088427435
80,3,29,0.08324444444444444,1873,0.08324444444444444,0.12443121792448582,0.033694509684627574
81,3,30,0.082,1845,0.082,0.1280499103854523,0.0365832648093573
82,3,31,0.08266666666666667,1860,0.08266666666666667,0.1297159405847794,0.03721536051029196
83,3,32,0.08195555555555556,1844,0.08195555555555556,0.11702380216914633,0.025674251157387577
84,3,33,0.08213333333333334,1848,0.08213333333333334,0.11671345790726823,0.027702254354846086
85,3,34,0.08222222222222222,1850,0.08222222222222222,0.12403052740838463,0.03452109177966292
86,3,35,0.08293333333333333,1866,0.08293333333333333,0.12408429228558449,0.03481827308655413
87,3,36,0.08377777777777778,1885,0.08377777777777778,0.12411877328742274,0.03037436287680106
88,3,37,0.0804,1809,0.0804,0.12216074359034787,0.03191342644279256
89,3,38,0.08053333333333333,1812,0.08053333333333333,0.12506807779156828,0.03641147848733948
90,3,39,0.08191111111111112,1843,0.08191111111111112,0.12557143601822138,0.035553881738628154
91,3,40,0.08346666666666666,1878,0.08346666666666666,0.13081272538289013,0.040476456554202934
92,3,41,0.08155555555555556,1835,0.08155555555555556,0.12171561085634722,0.032880437041085515
93,3,42,0.08137777777777777,1831,0.08137777777777777,0.12040676755999238,0.03347630225870816
